DateTime,Level
2014-01-01,83.09
2014-01-02,83.09
2014-01-03,83.09
2014-01-04,83.09
2014-01-05,83.09
2014-01-06,83.09
2014-01-07,83.09
2014-01-08,83.09
2014-01-09,83.09
2014-01-10,83.10
2014-01-11,83.11
2014-01-12,83.12
2014-01-13,83.12
2014-01-14,83.12
2014-01-15,83.14
2014-01-16,83.15
2014-01-17,83.15
2014-01-18,83.16
2014-01-19,83.15
2014-01-20,83.15
2014-01-21,83.16
2014-01-22,83.17
2014-01-23,83.17
2014-01-24,83.17
2014-01-25,83.16
2014-01-26,83.16
2014-01-27,83.16
2014-01-28,83.16
2014-01-29,83.15
2014-01-30,83.15
2014-01-31,83.14
2014-02-01,83.14
2014-02-02,83.13
2014-02-03,83.13
2014-02-04,83.13
2014-02-05,83.12
2014-02-06,83.12
2014-02-07,83.12
2014-02-08,83.12
2014-02-09,83.12
2014-02-10,83.11
2014-02-11,83.10
2014-02-12,83.10
2014-02-13,83.09
2014-02-14,83.09
2014-02-15,83.09
2014-02-16,83.09
2014-02-17,83.09
2014-02-18,83.08
2014-02-19,83.08
2014-02-20,83.08
2014-02-21,83.09
2014-02-22,83.09
2014-02-23,83.09
2014-02-24,83.09
2014-02-25,83.08
2014-02-26,83.08
2014-02-27,83.08
2014-02-28,83.08
2014-03-01,83.07
2014-03-02,83.07
2014-03-03,83.07
2014-03-04,83.07
2014-03-05,83.07
2014-03-06,83.07
2014-03-07,83.07
2014-03-08,83.07
2014-03-09,83.07
2014-03-10,83.06
2014-03-11,83.06
2014-03-12,83.06
2014-03-13,83.06
2014-03-14,83.06
2014-03-15,83.06
2014-03-16,83.06
2014-03-17,83.06
2014-03-18,83.06
2014-03-19,83.06
2014-03-20,83.05
2014-03-21,83.05
2014-03-22,83.05
2014-03-23,83.06
2014-03-24,83.09
2014-03-25,83.10
2014-03-26,83.11
2014-03-27,83.11
2014-03-28,83.11
2014-03-29,83.11
2014-03-30,83.11
2014-03-31,83.11
2014-04-01,83.10
2014-04-02,83.10
2014-04-03,83.10
2014-04-04,83.09
2014-04-05,83.09
2014-04-06,83.09
2014-04-07,83.09
2014-04-08,83.09
2014-04-09,83.08
2014-04-10,83.08
2014-04-11,83.07
2014-04-12,83.07
2014-04-13,83.07
2014-04-14,83.07
2014-04-15,83.06
2014-04-16,83.06
2014-04-17,83.06
2014-04-18,83.06
2014-04-19,83.07
2014-04-20,83.07
2014-04-21,83.07
2014-04-22,83.08
2014-04-23,83.09
2014-04-24,83.09
2014-04-25,83.09
2014-04-26,83.09
2014-04-27,83.09
2014-04-28,83.10
2014-04-29,83.10
2014-04-30,83.10
2014-05-01,83.10
2014-05-02,83.12
2014-05-03,83.15
2014-05-04,83.18
2014-05-05,83.19
2014-05-06,83.20
2014-05-07,83.19
2014-05-08,83.20
