DateTime,Depth,Temp
2014-01-30,0.5,3.8
2014-01-30,1,3.8
2014-01-30,2,3.9
2014-01-30,4,3.8
2014-01-30,6,3.9
2014-01-30,8,3.9
2014-01-30,10,3.9
2014-01-30,12,4
2014-01-30,14,4
2014-01-30,16,4
2014-01-30,18,4
2014-01-30,20,4
2014-01-30,25,4
2014-01-30,40,4
2014-01-30,60,4.2
2014-01-30,78,4
2014-01-30,83.15,4
2014-01-31,0.5,3.8
2014-01-31,1,3.8
2014-01-31,2,3.9
2014-01-31,4,3.8
2014-01-31,6,3.9
2014-01-31,8,3.9
2014-01-31,10,3.9
2014-01-31,12,3.9
2014-01-31,14,3.9
2014-01-31,16,3.9
2014-01-31,18,4
2014-01-31,20,3.9
2014-01-31,25,3.9
2014-01-31,40,3.9
2014-01-31,60,4.2
2014-01-31,78,4
2014-01-31,83.14,4
2014-02-01,0.5,3.8
2014-02-01,1,3.8
2014-02-01,2,3.9
2014-02-01,4,3.8
2014-02-01,6,3.9
2014-02-01,8,3.9
2014-02-01,10,3.9
2014-02-01,12,3.9
2014-02-01,14,3.9
2014-02-01,16,3.9
2014-02-01,18,3.9
2014-02-01,20,3.9
2014-02-01,25,3.9
2014-02-01,40,3.9
2014-02-01,60,4.2
2014-02-01,78,4
2014-02-01,83.14,4
2014-02-02,0.5,3.8
2014-02-02,1,3.8
2014-02-02,2,3.9
2014-02-02,4,3.8
2014-02-02,6,3.9
2014-02-02,8,3.9
2014-02-02,10,3.9
2014-02-02,12,3.9
2014-02-02,14,3.9
2014-02-02,16,3.9
2014-02-02,18,3.9
2014-02-02,20,3.9
2014-02-02,25,3.9
2014-02-02,40,3.9
2014-02-02,60,4.2
2014-02-02,78,4
2014-02-02,83.13,4
2014-02-03,0.5,3.8
2014-02-03,1,3.8
2014-02-03,2,3.9
2014-02-03,4,3.8
2014-02-03,6,3.9
2014-02-03,8,3.8
2014-02-03,10,3.8
2014-02-03,12,3.9
2014-02-03,14,3.9
2014-02-03,16,3.9
2014-02-03,18,3.9
2014-02-03,20,3.9
2014-02-03,25,3.9
2014-02-03,40,3.9
2014-02-03,60,4.2
2014-02-03,78,4
2014-02-03,83.13,4
2014-02-04,0.5,3.8
2014-02-04,1,3.8
2014-02-04,2,3.9
2014-02-04,4,3.8
2014-02-04,6,3.9
2014-02-04,8,3.8
2014-02-04,10,3.8
2014-02-04,12,3.9
2014-02-04,14,3.9
2014-02-04,16,3.9
2014-02-04,18,3.9
2014-02-04,20,3.9
2014-02-04,25,3.9
2014-02-04,40,3.9
2014-02-04,60,4.2
2014-02-04,78,4
2014-02-04,83.13,4
2014-02-05,0.5,3.8
2014-02-05,1,3.8
2014-02-05,2,3.9
2014-02-05,4,3.8
2014-02-05,6,3.9
2014-02-05,8,3.9
2014-02-05,10,3.9
2014-02-05,12,3.9
2014-02-05,14,3.9
2014-02-05,16,3.9
2014-02-05,18,3.9
2014-02-05,20,3.9
2014-02-05,25,3.9
2014-02-05,40,3.9
2014-02-05,60,4.2
2014-02-05,78,3.9
2014-02-05,83.12,3.9
2014-02-06,0.5,3.9
2014-02-06,1,3.9
2014-02-06,2,3.9
2014-02-06,4,3.8
2014-02-06,6,3.9
2014-02-06,8,3.9
2014-02-06,10,3.9
2014-02-06,12,3.9
2014-02-06,14,3.9
2014-02-06,16,3.9
2014-02-06,18,3.9
2014-02-06,20,3.9
2014-02-06,25,3.9
2014-02-06,40,3.9
2014-02-06,60,4
2014-02-06,78,3.9
2014-02-06,83.12,3.9
2014-02-07,0.5,3.8
2014-02-07,1,3.8
2014-02-07,2,3.9
2014-02-07,4,3.8
2014-02-07,6,3.9
2014-02-07,8,3.9
2014-02-07,10,3.9
2014-02-07,12,3.9
2014-02-07,14,3.9
2014-02-07,16,3.9
2014-02-07,18,3.9
2014-02-07,20,3.9
2014-02-07,25,3.9
2014-02-07,40,3.9
2014-02-07,60,4
2014-02-07,78,3.9
2014-02-07,83.12,3.9
2014-02-08,0.5,3.9
2014-02-08,1,3.9
2014-02-08,2,3.9
2014-02-08,4,3.9
2014-02-08,6,3.9
2014-02-08,8,3.9
2014-02-08,10,3.9
2014-02-08,12,3.9
2014-02-08,14,3.9
2014-02-08,16,3.9
2014-02-08,18,4
2014-02-08,20,3.9
2014-02-08,25,3.9
2014-02-08,40,3.9
2014-02-08,60,4
2014-02-08,78,3.9
2014-02-08,83.12,3.9
2014-02-09,0.5,3.9
2014-02-09,1,3.9
2014-02-09,2,3.9
2014-02-09,4,3.9
2014-02-09,6,3.9
2014-02-09,8,3.9
2014-02-09,10,3.9
2014-02-09,12,3.9
2014-02-09,14,3.9
2014-02-09,16,4
2014-02-09,18,4
2014-02-09,20,3.9
2014-02-09,25,3.9
2014-02-09,40,3.9
2014-02-09,60,4.1
2014-02-09,78,3.9
2014-02-09,83.12,3.9
2014-02-10,0.5,3.8
2014-02-10,1,3.8
2014-02-10,2,3.9
2014-02-10,4,3.8
2014-02-10,6,3.9
2014-02-10,8,3.9
2014-02-10,10,3.9
2014-02-10,12,3.9
2014-02-10,14,3.9
2014-02-10,16,3.9
2014-02-10,18,3.9
2014-02-10,20,3.9
2014-02-10,25,3.9
2014-02-10,40,3.9
2014-02-10,60,4.1
2014-02-10,78,3.9
2014-02-10,83.11,3.9
2014-02-11,0.5,3.9
2014-02-11,1,3.8
2014-02-11,2,3.9
2014-02-11,4,3.9
2014-02-11,6,3.9
2014-02-11,8,3.9
2014-02-11,10,3.9
2014-02-11,12,3.9
2014-02-11,14,3.9
2014-02-11,16,3.9
2014-02-11,18,3.9
2014-02-11,20,3.9
2014-02-11,25,3.9
2014-02-11,40,3.9
2014-02-11,60,4.1
2014-02-11,78,3.9
2014-02-11,83.1,3.9
2014-02-12,0.5,3.8
2014-02-12,1,3.8
2014-02-12,2,3.9
2014-02-12,4,3.8
2014-02-12,6,3.9
2014-02-12,8,3.8
2014-02-12,10,3.8
2014-02-12,12,3.9
2014-02-12,14,3.9
2014-02-12,16,3.9
2014-02-12,18,3.9
2014-02-12,20,3.9
2014-02-12,25,3.9
2014-02-12,40,3.9
2014-02-12,60,4
2014-02-12,78,3.9
2014-02-12,83.1,3.9
2014-02-13,0.5,3.8
2014-02-13,1,3.8
2014-02-13,2,3.9
2014-02-13,4,3.8
2014-02-13,6,3.9
2014-02-13,8,3.8
2014-02-13,10,3.8
2014-02-13,12,3.9
2014-02-13,14,3.9
2014-02-13,16,3.9
2014-02-13,18,3.9
2014-02-13,20,3.9
2014-02-13,25,3.9
2014-02-13,40,3.9
2014-02-13,60,4
2014-02-13,78,4
2014-02-13,83.09,4
2014-02-14,0.5,3.9
2014-02-14,1,3.9
2014-02-14,2,4
2014-02-14,4,3.9
2014-02-14,6,3.9
2014-02-14,8,3.9
2014-02-14,10,3.9
2014-02-14,12,3.9
2014-02-14,14,3.9
2014-02-14,16,3.9
2014-02-14,18,3.9
2014-02-14,20,3.9
2014-02-14,25,3.9
2014-02-14,40,3.9
2014-02-14,60,4.1
2014-02-14,78,4
2014-02-14,83.09,4
2014-02-15,0.5,4
2014-02-15,1,4
2014-02-15,2,4
2014-02-15,4,3.9
2014-02-15,6,4
2014-02-15,8,3.9
2014-02-15,10,3.9
2014-02-15,12,4
2014-02-15,14,4
2014-02-15,16,4
2014-02-15,18,4
2014-02-15,20,3.9
2014-02-15,25,3.9
2014-02-15,40,3.9
2014-02-15,60,4.1
2014-02-15,78,4
2014-02-15,83.09,4
2014-02-16,0.5,4
2014-02-16,1,3.9
2014-02-16,2,4
2014-02-16,4,3.9
2014-02-16,6,4
2014-02-16,8,4
2014-02-16,10,4
2014-02-16,12,4
2014-02-16,14,4
2014-02-16,16,4
2014-02-16,18,4
2014-02-16,20,4
2014-02-16,25,4
2014-02-16,40,3.9
2014-02-16,60,4.1
2014-02-16,78,3.9
2014-02-16,83.09,3.9
2014-02-17,0.5,4
2014-02-17,1,4
2014-02-17,2,4
2014-02-17,4,3.9
2014-02-17,6,4
2014-02-17,8,4
2014-02-17,10,4
2014-02-17,12,4
2014-02-17,14,4
2014-02-17,16,4
2014-02-17,18,4
2014-02-17,20,4
2014-02-17,25,4
2014-02-17,40,3.9
2014-02-17,60,4.1
2014-02-17,78,3.9
2014-02-17,83.09,3.9
2014-02-18,0.5,4
2014-02-18,1,4
2014-02-18,2,4.1
2014-02-18,4,4
2014-02-18,6,4
2014-02-18,8,4
2014-02-18,10,4
2014-02-18,12,4
2014-02-18,14,4
2014-02-18,16,4
2014-02-18,18,4
2014-02-18,20,4
2014-02-18,25,4
2014-02-18,40,3.9
2014-02-18,60,4.1
2014-02-18,78,4
2014-02-18,83.08,4
2014-02-19,0.5,3.9
2014-02-19,1,3.9
2014-02-19,2,4
2014-02-19,4,3.9
2014-02-19,6,4
2014-02-19,8,3.9
2014-02-19,10,3.9
2014-02-19,12,4
2014-02-19,14,4
2014-02-19,16,4
2014-02-19,18,4
2014-02-19,20,4
2014-02-19,25,4
2014-02-19,40,4
2014-02-19,60,4.1
2014-02-19,78,4
2014-02-19,83.08,4
2014-02-20,0.5,4.1
2014-02-20,1,4
2014-02-20,2,4
2014-02-20,4,3.9
2014-02-20,6,4
2014-02-20,8,3.9
2014-02-20,10,3.9
2014-02-20,12,4
2014-02-20,14,4
2014-02-20,16,4
2014-02-20,18,4
2014-02-20,20,4
2014-02-20,25,4
2014-02-20,40,3.9
2014-02-20,60,4.1
2014-02-20,78,3.9
2014-02-20,83.08,3.9
2014-02-21,0.5,3.9
2014-02-21,1,3.9
2014-02-21,2,4
2014-02-21,4,3.9
2014-02-21,6,4
2014-02-21,8,4
2014-02-21,10,4
2014-02-21,12,4
2014-02-21,14,4
2014-02-21,16,4
2014-02-21,18,4
2014-02-21,20,4
2014-02-21,25,4
2014-02-21,40,3.9
2014-02-21,60,4.1
2014-02-21,78,4
2014-02-21,83.09,4
2014-02-22,0.5,4
2014-02-22,1,3.9
2014-02-22,2,4
2014-02-22,4,4
2014-02-22,6,4
2014-02-22,8,4
2014-02-22,10,4
2014-02-22,12,4
2014-02-22,14,4
2014-02-22,16,4
2014-02-22,18,4
2014-02-22,20,4
2014-02-22,25,4
2014-02-22,40,4
2014-02-22,60,4.1
2014-02-22,78,4.1
2014-02-22,83.09,4.1
2014-02-23,0.5,4.1
2014-02-23,1,4.1
