time,flow,temp
2014-01-30,9.44,1.8
2014-01-31,9.13,2.6
2014-02-01,8.89,2.6
2014-02-02,9.19,3.6
2014-02-03,9.3,4
2014-02-04,9.27,4.5
2014-02-05,9.38,4.2
2014-02-06,9.37,4.5
2014-02-07,9.2,3.8
2014-02-08,9.78,4.6
2014-02-09,9.28,4.9
2014-02-10,8.81,3.2
2014-02-11,8.53,5.1
2014-02-12,8.26,3.5
2014-02-13,8.09,3.5
2014-02-14,8.32,4.7
2014-02-15,8.05,5.8
2014-02-16,8.33,6.3
2014-02-17,8.24,6.1
2014-02-18,7.93,5.1
2014-02-19,8.4,5.5
2014-02-20,9.15,6.1
2014-02-21,9.13,5
2014-02-22,10.2,5.4
2014-02-23,9.05,5.5
2014-02-24,8.46,4.4
2014-02-25,8.11,4.2
2014-02-26,7.89,4.8
2014-02-27,7.81,6.3
2014-02-28,7.84,6.7
2014-03-01,7.58,5.4
2014-03-02,7.4,5.7
2014-03-03,7.4,6.4
2014-03-04,7.51,6.7
2014-03-05,7.62,6.9
2014-03-06,8.52,6.7
2014-03-07,8.17,6.3
2014-03-08,7.89,7
2014-03-09,7.67,6.8
2014-03-10,7.43,6.9
2014-03-11,7.35,6.9
2014-03-12,7.09,7
2014-03-13,7.01,7.7
2014-03-14,7.1,8.5
2014-03-15,7.12,8.4
2014-03-16,8.35,8.3
2014-03-17,8.09,9.6
2014-03-18,7.48,9.8
2014-03-19,7.26,10.4
2014-03-20,7.05,9.9
2014-03-21,6.87,10.5
2014-03-22,6.87,10.6
2014-03-23,10.4,8.1
2014-03-24,13.2,5.8
2014-03-25,12.5,6.6
2014-03-26,11.6,6.6
2014-03-27,11.2,7.3
2014-03-28,11.3,8.5
2014-03-29,11.2,9.1
2014-03-30,11.6,9.8
2014-03-31,11.3,10.1
2014-04-01,10.5,11
2014-04-02,9.62,12.5
2014-04-03,9.08,12.5
2014-04-04,8.71,11.3
2014-04-05,8.38,11.8
2014-04-06,8.82,13.4
2014-04-07,8.69,13.6
2014-04-08,8.29,13.2
2014-04-09,8.08,12.4
2014-04-10,7.74,11.2
2014-04-11,7.62,12.8
2014-04-12,7.38,13.6
2014-04-13,8.38,14.2
2014-04-14,8.09,12.6
2014-04-15,8.27,10.2
2014-04-16,8.03,9.6
2014-04-17,7.86,10.2
2014-04-18,7.78,9.6
2014-04-19,8.73,8.2
2014-04-20,8.96,9.4
2014-04-21,8.6,12
2014-04-22,12.9,12.8
2014-04-23,10.4,13.9
2014-04-24,9.1,14.9
2014-04-25,8.31,16.1
2014-04-26,8.87,17.5
2014-04-27,10,15.3
2014-04-28,12.4,12.4
2014-04-29,11.6,13.1
2014-04-30,10.6,13.7
2014-05-01,11.8,14.6
2014-05-02,23.1,13.3
2014-05-03,39.4,10.6
2014-05-04,24.4,10.2
2014-05-05,17.9,11.9
2014-05-06,15.3,14.1
2014-05-07,15,14.4
2014-05-08,16.3,14.4
2014-05-09,14.5,16.2
2014-05-10,14.1,16.5
2014-05-11,14.3,15.7
2014-05-12,14.2,13.6
2014-05-13,12.9,13.7
2014-05-14,14.7,12.7
2014-05-15,19.1,11.1
2014-05-16,19.8,10.9
2014-05-17,19.3,11.8
2014-05-18,17.5,14.1
2014-05-19,15.4,14.3
2014-05-20,13.4,12.6
2014-05-21,12.3,14.5
2014-05-22,11.7,15.7
2014-05-23,11.1,14
2014-05-24,10.6,12.6
2014-05-25,10.2,13.6
2014-05-26,10.6,14.4
2014-05-27,20.1,11.9
2014-05-28,17.1,11.4
2014-05-29,12.4,12
2014-05-30,19.2,10.6
2014-05-31,16.4,11.2
2014-06-01,12.9,12.6
2014-06-02,12.4,13.7
2014-06-03,12,14.5
2014-06-04,11.8,14.6
2014-06-05,12.3,14.6
2014-06-06,11,15.9
2014-06-07,10.4,18.8
2014-06-08,9.99,20.3
2014-06-09,9.61,21
2014-06-10,9.29,20.3
2014-06-11,9.24,20.5
2014-06-12,9,20.2
2014-06-13,12.8,18.4
2014-06-14,10.6,16
2014-06-15,9.43,15.3
2014-06-16,8.98,16.1
2014-06-17,8.65,16.2
2014-06-18,8.52,16.3
2014-06-19,8.44,16
2014-06-20,8.63,13.8
2014-06-21,9.38,14.8
2014-06-22,8.27,16.7
2014-06-23,8.03,18.3
2014-06-24,10.5,17.2
2014-06-25,10.6,14.5
2014-06-26,16.4,13.5
2014-06-27,10.2,15.9
2014-06-28,10,17.4
2014-06-29,14.4,15.4
2014-06-30,28.2,11.4
2014-07-01,14.4,13.8
2014-07-02,13.5,13.5
2014-07-03,16.9,13.6
2014-07-04,12.5,16
2014-07-05,11.3,16.5
2014-07-06,10.7,17.9
2014-07-07,10.6,18.9
2014-07-08,12.1,15.6
2014-07-09,31.1,11.7
2014-07-10,23.5,10.9
2014-07-11,39.1,11.7
2014-07-12,31.1,12.7
2014-07-13,23.1,13.8
2014-07-14,18.4,14.9
2014-07-15,27.5,14.8
2014-07-16,19,16.4
2014-07-17,15.8,17.5
2014-07-18,14,18.1
2014-07-19,13.1,18.9
