time,flow,temp
2014-01-30,0.553,NA
2014-01-31,0.543,NA
2014-02-01,0.533,NA
2014-02-02,0.528,NA
2014-02-03,0.527,NA
2014-02-04,0.524,NA
2014-02-05,0.517,NA
2014-02-06,0.507,NA
2014-02-07,0.495,NA
2014-02-08,0.483,NA
2014-02-09,0.473,NA
2014-02-10,0.463,NA
2014-02-11,0.452,NA
2014-02-12,0.440,NA
2014-02-13,0.435,NA
2014-02-14,0.430,NA
2014-02-15,0.427,NA
2014-02-16,0.423,NA
2014-02-17,0.413,NA
2014-02-18,0.402,NA
2014-02-19,0.390,NA
2014-02-20,0.380,NA
2014-02-21,0.379,NA
2014-02-22,0.377,NA
2014-02-23,0.370,NA
2014-02-24,0.357,NA
2014-02-25,0.341,NA
2014-02-26,0.325,NA
2014-02-27,0.314,NA
2014-02-28,0.304,NA
2014-03-01,0.292,NA
2014-03-02,0.279,NA
2014-03-03,0.265,NA
2014-03-04,0.256,NA
2014-03-05,0.249,NA
2014-03-06,0.240,NA
2014-03-07,0.229,NA
2014-03-08,0.217,NA
2014-03-09,0.205,NA
2014-03-10,0.193,NA
2014-03-11,0.182,NA
2014-03-12,0.172,NA
2014-03-13,0.162,NA
2014-03-14,0.153,NA
2014-03-15,0.147,NA
2014-03-16,0.141,NA
2014-03-17,0.136,NA
2014-03-18,0.130,NA
2014-03-19,0.123,NA
2014-03-20,0.117,NA
2014-03-21,0.111,NA
2014-03-22,0.132,NA
2014-03-23,0.191,NA
2014-03-24,0.253,NA
2014-03-25,0.293,NA
2014-03-26,0.308,NA
2014-03-27,0.306,NA
2014-03-28,0.301,NA
2014-03-29,0.294,NA
2014-03-30,0.288,NA
2014-03-31,0.282,NA
2014-04-01,0.276,NA
2014-04-02,0.269,NA
2014-04-03,0.262,NA
2014-04-04,0.255,NA
2014-04-05,0.250,NA
2014-04-06,0.246,NA
2014-04-07,0.241,NA
2014-04-08,0.240,NA
2014-04-09,0.239,NA
2014-04-10,0.236,NA
2014-04-11,0.232,NA
2014-04-12,0.229,NA
2014-04-13,0.231,NA
2014-04-14,0.235,NA
2014-04-15,0.237,NA
2014-04-16,0.235,NA
2014-04-17,0.231,NA
2014-04-18,0.242,NA
2014-04-19,0.260,NA
2014-04-20,0.270,NA
2014-04-21,0.282,NA
2014-04-22,0.288,NA
2014-04-23,0.289,NA
2014-04-24,0.286,NA
2014-04-25,0.278,NA
2014-04-26,0.282,NA
2014-04-27,0.310,NA
2014-04-28,0.336,NA
2014-04-29,0.348,NA
2014-04-30,0.348,NA
2014-05-01,0.355,NA
2014-05-02,0.367,NA
2014-05-03,0.375,NA
2014-05-04,0.377,NA
2014-05-05,0.370,NA
2014-05-06,0.364,NA
2014-05-07,0.381,NA
2014-05-08,0.410,NA
2014-05-09,0.435,NA
2014-05-10,0.457,NA
2014-05-11,0.466,NA
2014-05-12,0.469,NA
2014-05-13,0.482,NA
2014-05-14,0.501,NA
2014-05-15,0.516,NA
2014-05-16,0.525,NA
2014-05-17,0.525,NA
2014-05-18,0.521,NA
2014-05-19,0.512,NA
2014-05-20,0.501,NA
2014-05-21,0.489,NA
2014-05-22,0.477,NA
2014-05-23,0.467,NA
2014-05-24,0.457,NA
2014-05-25,0.446,NA
2014-05-26,0.452,NA
2014-05-27,0.473,NA
2014-05-28,0.490,NA
2014-05-29,0.517,NA
2014-05-30,0.544,NA
2014-05-31,0.557,NA
2014-06-01,0.558,NA
2014-06-02,0.556,NA
2014-06-03,0.553,NA
2014-06-04,0.556,NA
2014-06-05,0.558,NA
2014-06-06,0.550,NA
2014-06-07,0.538,NA
2014-06-08,0.522,NA
2014-06-09,0.505,NA
2014-06-10,0.488,NA
2014-06-11,0.471,NA
2014-06-12,0.454,NA
2014-06-13,0.440,NA
2014-06-14,0.424,NA
2014-06-15,0.409,NA
2014-06-16,0.393,NA
2014-06-17,0.376,NA
2014-06-18,0.359,NA
2014-06-19,0.344,NA
2014-06-20,0.331,NA
2014-06-21,0.319,NA
2014-06-22,0.306,NA
2014-06-23,0.311,NA
2014-06-24,0.332,NA
2014-06-25,0.350,NA
2014-06-26,0.356,NA
2014-06-27,0.349,NA
2014-06-28,0.353,NA
2014-06-29,0.411,NA
2014-06-30,0.485,NA
2014-07-01,0.535,NA
2014-07-02,0.580,NA
2014-07-03,0.601,NA
2014-07-04,0.605,NA
2014-07-05,0.601,NA
2014-07-06,0.590,NA
2014-07-07,0.585,NA
2014-07-08,0.630,NA
2014-07-09,0.692,NA
2014-07-10,0.752,NA
2014-07-11,0.798,NA
2014-07-12,0.902,NA
2014-07-13,1.010,NA
2014-07-14,1.069,NA
2014-07-15,1.094,NA
2014-07-16,1.079,NA
2014-07-17,1.061,NA
2014-07-18,1.042,NA
2014-07-19,1.022,NA
2014-07-20,1.005,NA
2014-07-21,1.039,NA
2014-07-22,1.107,NA
2014-07-23,1.157,NA
2014-07-24,1.177,NA
2014-07-25,1.167,NA
2014-07-26,1.206,NA
2014-07-27,1.258,NA
2014-07-28,1.295,NA
2014-07-29,1.320,NA
2014-07-30,1.367,NA
2014-07-31,1.420,NA
2014-08-01,1.441,NA
2014-08-02,1.446,NA
2014-08-03,1.436,NA
2014-08-04,1.431,NA
2014-08-05,1.451,NA
2014-08-06,1.463,NA
2014-08-07,1.457,NA
2014-08-08,1.436,NA
2014-08-09,1.400,NA
2014-08-10,1.373,NA
2014-08-11,1.376,NA
2014-08-12,1.381,NA
2014-08-13,1.397,NA
2014-08-14,1.405,NA
2014-08-15,1.390,NA
2014-08-16,1.375,NA
2014-08-17,1.344,NA
2014-08-18,1.311,NA
2014-08-19,1.276,NA
2014-08-20,1.239,NA
2014-08-21,1.203,NA
2014-08-22,1.163,NA
2014-08-23,1.129,NA
2014-08-24,1.101,NA
2014-08-25,1.080,NA
2014-08-26,1.065,NA
2014-08-27,1.052,NA
2014-08-28,1.032,NA
2014-08-29,1.007,NA
2014-08-30,0.979,NA
2014-08-31,0.985,NA
2014-09-01,0.994,NA
2014-09-02,0.990,NA
2014-09-03,0.977,NA
2014-09-04,0.947,NA
2014-09-05,0.913,NA
2014-09-06,0.874,NA
2014-09-07,0.836,NA
2014-09-08,0.801,NA
2014-09-09,0.771,NA
2014-09-10,0.742,NA
2014-09-11,0.713,NA
2014-09-12,0.712,NA
2014-09-13,0.719,NA
2014-09-14,0.717,NA
2014-09-15,0.704,NA
2014-09-16,0.677,NA
2014-09-17,0.649,NA
2014-09-18,0.628,NA
2014-09-19,0.621,NA
2014-09-20,0.627,NA
2014-09-21,0.659,NA
2014-09-22,0.688,NA
2014-09-23,0.697,NA
2014-09-24,0.702,NA
2014-09-25,0.702,NA
2014-09-26,0.697,NA
2014-09-27,0.685,NA
2014-09-28,0.665,NA
2014-09-29,0.643,NA
2014-09-30,0.649,NA
2014-10-01,0.681,NA
2014-10-02,0.705,NA
2014-10-03,0.712,NA
2014-10-04,0.701,NA
2014-10-05,0.680,NA
2014-10-06,0.659,NA
2014-10-07,0.638,NA
2014-10-08,0.617,NA
2014-10-09,0.597,NA
2014-10-10,0.576,NA
2014-10-11,0.554,NA
2014-10-12,0.534,NA
2014-10-13,0.525,NA
2014-10-14,0.527,NA
2014-10-15,0.535,NA
2014-10-16,0.545,NA
2014-10-17,0.554,NA
2014-10-18,0.553,NA
2014-10-19,0.544,NA
2014-10-20,0.589,NA
2014-10-21,0.672,NA
2014-10-22,0.798,NA
2014-10-23,0.919,NA
2014-10-24,0.981,NA
2014-10-25,1.006,NA
2014-10-26,0.999,NA
2014-10-27,0.980,NA
2014-10-28,0.959,NA
2014-10-29,0.937,NA
2014-10-30,0.919,NA
2014-10-31,0.901,NA
2014-11-01,0.880,NA
2014-11-02,0.858,NA
2014-11-03,0.834,NA
2014-11-04,0.810,NA
2014-11-05,0.807,NA
2014-11-06,0.822,NA
2014-11-07,0.829,NA
2014-11-08,0.824,NA
2014-11-09,0.805,NA
2014-11-10,0.781,NA
2014-11-11,0.757,NA
2014-11-12,0.733,NA
2014-11-13,0.712,NA
2014-11-14,0.692,NA
2014-11-15,0.672,NA
2014-11-16,0.650,NA
2014-11-17,0.649,NA
2014-11-18,0.688,NA
2014-11-19,0.730,NA
2014-11-20,0.749,NA
2014-11-21,0.746,NA
2014-11-22,0.725,NA
2014-11-23,0.702,NA
2014-11-24,0.678,NA
2014-11-25,0.652,NA
2014-11-26,0.627,NA
2014-11-27,0.600,NA
2014-11-28,0.574,NA
2014-11-29,0.547,NA
2014-11-30,0.518,NA
2014-12-01,0.496,NA
2014-12-02,0.478,NA
2014-12-03,0.460,NA
2014-12-04,0.440,NA
2014-12-05,0.419,NA
2014-12-06,0.402,NA
2014-12-07,0.387,NA
2014-12-08,0.375,NA
2014-12-09,0.362,NA
2014-12-10,0.349,NA
2014-12-11,0.336,NA
2014-12-12,0.322,NA
2014-12-13,0.307,NA
2014-12-14,0.291,NA
2014-12-15,0.278,NA
2014-12-16,0.277,NA
2014-12-17,0.296,NA
2014-12-18,0.321,NA
2014-12-19,0.351,NA
2014-12-20,0.373,NA
2014-12-21,0.378,NA
2014-12-22,0.374,NA
2014-12-23,0.364,NA
2014-12-24,0.355,NA
2014-12-25,0.351,NA
2014-12-26,0.347,NA
2014-12-27,0.344,NA
2014-12-28,0.340,NA
2014-12-29,0.334,NA
2014-12-30,0.329,NA
2014-12-31,0.322,NA
2015-01-01,0.322,NA
2015-01-02,0.339,NA
2015-01-03,0.392,NA
2015-01-04,0.446,NA
2015-01-05,0.475,NA
2015-01-06,0.484,NA
2015-01-07,0.477,NA
2015-01-08,0.473,NA
2015-01-09,0.479,NA
2015-01-10,0.493,NA
