time,flow,temp
2014-01-30,0.438,8.65
2014-01-31,0.438,8.65
2014-02-01,0.446,8.65
2014-02-02,0.446,8.65
2014-02-03,0.446,8.65
2014-02-04,0.446,8.65
2014-02-05,0.446,8.65
2014-02-06,0.446,8.65
2014-02-07,0.446,8.65
2014-02-08,0.446,8.65
2014-02-09,0.446,8.65
2014-02-10,0.446,8.65
2014-02-11,0.438,8.65
2014-02-12,0.438,8.65
2014-02-13,0.438,8.65
2014-02-14,0.430,8.65
2014-02-15,0.430,8.65
2014-02-16,0.422,8.65
2014-02-17,0.415,8.65
2014-02-18,0.415,8.65
2014-02-19,0.407,8.65
2014-02-20,0.407,8.65
2014-02-21,0.399,8.65
2014-02-22,0.399,8.65
2014-02-23,0.392,8.65
2014-02-24,0.384,8.65
2014-02-25,0.384,8.65
2014-02-26,0.377,8.65
2014-02-27,0.370,8.65
2014-02-28,0.370,8.65
2014-03-01,0.362,8.65
2014-03-02,0.362,8.65
2014-03-03,0.355,8.65
2014-03-04,0.348,8.65
2014-03-05,0.341,8.65
2014-03-06,0.341,8.65
2014-03-07,0.334,8.65
2014-03-08,0.328,8.65
2014-03-09,0.321,8.65
2014-03-10,0.321,8.65
2014-03-11,0.315,8.65
2014-03-12,0.308,8.65
2014-03-13,0.302,8.65
2014-03-14,0.295,8.65
2014-03-15,0.289,8.65
2014-03-16,0.289,8.65
2014-03-17,0.283,8.65
2014-03-18,0.277,8.65
2014-03-19,0.271,8.65
2014-03-20,0.265,8.65
2014-03-21,0.259,8.65
2014-03-22,0.259,8.65
2014-03-23,0.254,8.65
2014-03-24,0.248,8.65
2014-03-25,0.248,8.65
2014-03-26,0.243,8.65
2014-03-27,0.243,8.65
2014-03-28,0.237,8.65
2014-03-29,0.237,8.65
2014-03-30,0.237,8.65
2014-03-31,0.232,8.65
2014-04-01,0.232,8.65
2014-04-02,0.232,8.65
2014-04-03,0.227,8.65
2014-04-04,0.227,8.65
2014-04-05,0.227,8.65
2014-04-06,0.221,8.65
2014-04-07,0.221,8.65
2014-04-08,0.221,8.65
2014-04-09,0.216,8.65
2014-04-10,0.216,8.65
2014-04-11,0.216,8.65
2014-04-12,0.211,8.65
2014-04-13,0.211,8.65
2014-04-14,0.206,8.65
2014-04-15,0.206,8.65
2014-04-16,0.202,8.65
2014-04-17,0.202,8.65
2014-04-18,0.197,8.65
2014-04-19,0.197,8.65
2014-04-20,0.192,8.65
2014-04-21,0.192,8.65
2014-04-22,0.192,8.65
2014-04-23,0.188,8.65
2014-04-24,0.188,8.65
2014-04-25,0.183,8.65
2014-04-26,0.183,8.65
2014-04-27,0.183,8.65
2014-04-28,0.179,8.65
2014-04-29,0.179,8.65
2014-04-30,0.179,8.65
2014-05-01,0.174,8.65
2014-05-02,0.174,8.65
2014-05-03,0.170,8.65
2014-05-04,0.170,8.65
2014-05-05,0.170,8.65
2014-05-06,0.170,8.65
2014-05-07,0.170,8.65
2014-05-08,0.166,8.65
2014-05-09,0.166,8.65
2014-05-10,0.166,8.65
2014-05-11,0.166,8.65
2014-05-12,0.166,8.65
2014-05-13,0.166,8.65
2014-05-14,0.166,8.65
2014-05-15,0.166,8.65
2014-05-16,0.166,8.65
2014-05-17,0.166,8.65
2014-05-18,0.166,8.65
2014-05-19,0.166,8.65
2014-05-20,0.166,8.65
2014-05-21,0.166,8.65
2014-05-22,0.166,8.65
2014-05-23,0.162,8.65
2014-05-24,0.162,8.65
2014-05-25,0.162,8.65
2014-05-26,0.158,8.65
2014-05-27,0.154,8.65
2014-05-28,0.154,8.65
2014-05-29,0.150,8.65
2014-05-30,0.150,8.65
2014-05-31,0.146,8.65
2014-06-01,0.146,8.65
2014-06-02,0.142,8.65
2014-06-03,0.142,8.65
2014-06-04,0.139,8.65
2014-06-05,0.135,8.65
2014-06-06,0.135,8.65
2014-06-07,0.132,8.65
2014-06-08,0.128,8.65
2014-06-09,0.125,8.65
2014-06-10,0.125,8.65
2014-06-11,0.122,8.65
2014-06-12,0.119,8.65
2014-06-13,0.116,8.65
2014-06-14,0.112,8.65
2014-06-15,0.110,8.65
2014-06-16,0.107,8.65
2014-06-17,0.104,8.65
2014-06-18,0.104,8.65
2014-06-19,0.101,8.65
2014-06-20,0.096,8.65
2014-06-21,0.096,8.65
2014-06-22,0.093,8.65
2014-06-23,0.091,8.65
2014-06-24,0.088,8.65
2014-06-25,0.086,8.65
2014-06-26,0.084,8.65
2014-06-27,0.082,8.65
2014-06-28,0.079,8.65
2014-06-29,0.077,8.65
2014-06-30,0.075,8.65
2014-07-01,0.073,8.65
2014-07-02,0.073,8.65
2014-07-03,0.071,8.65
2014-07-04,0.071,8.65
2014-07-05,0.071,8.65
2014-07-06,0.070,8.65
2014-07-07,0.070,8.65
2014-07-08,0.068,8.65
2014-07-09,0.068,8.65
2014-07-10,0.068,8.65
2014-07-11,0.068,8.65
2014-07-12,0.068,8.65
2014-07-13,0.071,8.65
2014-07-14,0.073,8.65
2014-07-15,0.075,8.65
2014-07-16,0.077,8.65
2014-07-17,0.079,8.65
2014-07-18,0.082,8.65
2014-07-19,0.086,8.65
2014-07-20,0.088,8.65
2014-07-21,0.091,8.65
2014-07-22,0.093,8.65
2014-07-23,0.096,8.65
2014-07-24,0.098,8.65
2014-07-25,0.101,8.65
2014-07-26,0.104,8.65
2014-07-27,0.107,8.65
2014-07-28,0.110,8.65
2014-07-29,0.112,8.65
2014-07-30,0.116,8.65
2014-07-31,0.122,8.65
2014-08-01,0.128,8.65
