time,flow,temp
2014-01-30,1.337,NA
2014-01-31,1.187,NA
2014-02-01,1.117,NA
2014-02-02,1.097,NA
2014-02-03,1.270,NA
2014-02-04,1.290,NA
2014-02-05,1.280,NA
2014-02-06,1.230,NA
2014-02-07,1.170,NA
2014-02-08,1.687,NA
2014-02-09,1.554,NA
2014-02-10,1.318,NA
2014-02-11,1.288,NA
2014-02-12,1.444,NA
2014-02-13,1.786,NA
2014-02-14,1.620,NA
2014-02-15,2.260,NA
2014-02-16,2.724,NA
2014-02-17,2.064,NA
2014-02-18,1.858,NA
2014-02-19,2.684,NA
2014-02-20,2.963,NA
2014-02-21,2.435,NA
2014-02-22,2.503,NA
2014-02-23,2.154,NA
2014-02-24,1.898,NA
2014-02-25,1.868,NA
2014-02-26,1.756,NA
2014-02-27,1.540,NA
2014-02-28,1.354,NA
2014-03-01,1.324,NA
2014-03-02,1.231,NA
2014-03-03,1.231,NA
2014-03-04,1.344,NA
2014-03-05,1.354,NA
2014-03-06,1.384,NA
2014-03-07,1.457,NA
2014-03-08,1.633,NA
2014-03-09,1.696,NA
2014-03-10,1.500,NA
2014-03-11,1.304,NA
2014-03-12,1.294,NA
2014-03-13,1.201,NA
2014-03-14,1.201,NA
2014-03-15,1.098,NA
2014-03-16,1.108,NA
2014-03-17,1.098,NA
2014-03-18,1.088,NA
2014-03-19,0.996,NA
2014-03-20,0.986,NA
2014-03-21,0.976,NA
2014-03-22,1.151,NA
2014-03-23,2.044,NA
2014-03-24,3.108,NA
2014-03-25,2.446,NA
2014-03-26,1.763,NA
2014-03-27,1.503,NA
2014-03-28,1.220,NA
2014-03-29,1.183,NA
2014-03-30,1.113,NA
2014-03-31,1.033,NA
2014-04-01,0.993,NA
2014-04-02,0.880,NA
2014-04-03,1.046,NA
2014-04-04,0.767,NA
2014-04-05,0.767,NA
2014-04-06,0.747,NA
2014-04-07,0.747,NA
2014-04-08,0.767,NA
2014-04-09,0.817,NA
2014-04-10,0.684,NA
2014-04-11,0.654,NA
2014-04-12,0.654,NA
2014-04-13,0.694,NA
2014-04-14,0.694,NA
2014-04-15,0.684,NA
2014-04-16,0.664,NA
2014-04-17,0.551,NA
2014-04-18,0.561,NA
2014-04-19,0.781,NA
2014-04-20,0.751,NA
2014-04-21,1.384,NA
2014-04-22,1.906,NA
2014-04-23,1.948,NA
2014-04-24,1.673,NA
2014-04-25,1.201,NA
2014-04-26,1.006,NA
2014-04-27,0.993,NA
2014-04-28,1.160,NA
2014-04-29,0.927,NA
2014-04-30,0.804,NA
2014-05-01,0.691,NA
2014-05-02,0.841,NA
2014-05-03,1.031,NA
2014-05-04,0.981,NA
2014-05-05,0.861,NA
2014-05-06,0.731,NA
2014-05-07,0.671,NA
2014-05-08,1.001,NA
2014-05-09,1.081,NA
2014-05-10,0.989,NA
2014-05-11,1.091,NA
2014-05-12,0.967,NA
2014-05-13,0.621,NA
2014-05-14,0.671,NA
2014-05-15,1.081,NA
2014-05-16,1.301,NA
2014-05-17,1.031,NA
2014-05-18,1.087,NA
2014-05-19,0.814,NA
2014-05-20,0.714,NA
2014-05-21,0.664,NA
2014-05-22,0.541,NA
2014-05-23,0.541,NA
2014-05-24,0.521,NA
2014-05-25,0.501,NA
2014-05-26,1.220,NA
2014-05-27,1.647,NA
2014-05-28,1.414,NA
2014-05-29,0.861,NA
2014-05-30,1.661,NA
2014-05-31,1.361,NA
2014-06-01,0.881,NA
2014-06-02,0.701,NA
2014-06-03,0.539,NA
2014-06-04,0.489,NA
2014-06-05,0.581,NA
2014-06-06,0.541,NA
2014-06-07,0.521,NA
2014-06-08,0.409,NA
2014-06-09,0.481,NA
2014-06-10,0.379,NA
2014-06-11,0.369,NA
2014-06-12,0.461,NA
2014-06-13,0.461,NA
2014-06-14,0.369,NA
2014-06-15,0.359,NA
2014-06-16,0.359,NA
2014-06-17,0.359,NA
2014-06-18,0.359,NA
2014-06-19,0.359,NA
2014-06-20,0.359,NA
2014-06-21,0.266,NA
2014-06-22,0.266,NA
2014-06-23,0.359,NA
2014-06-24,0.419,NA
2014-06-25,0.399,NA
2014-06-26,0.379,NA
2014-06-27,0.369,NA
2014-06-28,0.554,NA
2014-06-29,0.499,NA
2014-06-30,0.589,NA
2014-07-01,0.509,NA
2014-07-02,0.489,NA
2014-07-03,0.529,NA
2014-07-04,0.439,NA
2014-07-05,0.409,NA
2014-07-06,0.389,NA
2014-07-07,0.389,NA
2014-07-08,0.429,NA
2014-07-09,0.979,NA
2014-07-10,1.029,NA
2014-07-11,0.869,NA
2014-07-12,1.401,NA
2014-07-13,1.771,NA
2014-07-14,1.101,NA
2014-07-15,0.741,NA
2014-07-16,0.509,NA
2014-07-17,0.489,NA
2014-07-18,0.449,NA
2014-07-19,0.429,NA
2014-07-20,0.409,NA
2014-07-21,0.479,NA
2014-07-22,0.809,NA
2014-07-23,1.119,NA
2014-07-24,0.629,NA
2014-07-25,0.469,NA
2014-07-26,1.449,NA
2014-07-27,4.969,NA
2014-07-28,1.834,NA
2014-07-29,1.309,NA
2014-07-30,0.926,NA
2014-07-31,3.269,NA
2014-08-01,1.456,NA
2014-08-02,0.936,NA
2014-08-03,1.046,NA
2014-08-04,0.756,NA
2014-08-05,0.886,NA
2014-08-06,1.156,NA
2014-08-07,0.726,NA
2014-08-08,0.576,NA
2014-08-09,0.589,NA
2014-08-10,3.334,NA
2014-08-11,2.734,NA
2014-08-12,1.200,NA
2014-08-13,1.201,NA
2014-08-14,1.829,NA
2014-08-15,1.019,NA
2014-08-16,0.989,NA
2014-08-17,1.199,NA
2014-08-18,0.769,NA
2014-08-19,0.689,NA
2014-08-20,1.298,NA
2014-08-21,0.990,NA
2014-08-22,0.661,NA
2014-08-23,0.704,NA
2014-08-24,0.704,NA
2014-08-25,0.880,NA
2014-08-26,0.704,NA
2014-08-27,1.014,NA
2014-08-28,1.470,NA
2014-08-29,6.362,NA
2014-08-30,1.866,NA
2014-08-31,1.548,NA
2014-09-01,3.070,NA
2014-09-02,1.600,NA
2014-09-03,1.628,NA
2014-09-04,1.478,NA
2014-09-05,1.236,NA
2014-09-06,1.156,NA
2014-09-07,0.920,NA
2014-09-08,0.900,NA
2014-09-09,1.530,NA
2014-09-10,1.374,NA
2014-09-11,1.510,NA
2014-09-12,1.881,NA
2014-09-13,1.331,NA
2014-09-14,1.126,NA
2014-09-15,0.993,NA
2014-09-16,0.870,NA
2014-09-17,0.933,NA
2014-09-18,0.830,NA
2014-09-19,0.933,NA
2014-09-20,0.830,NA
2014-09-21,0.990,NA
2014-09-22,2.030,NA
2014-09-23,1.307,NA
2014-09-24,0.701,NA
2014-09-25,0.990,NA
2014-09-26,0.960,NA
2014-09-27,0.571,NA
2014-09-28,0.521,NA
2014-09-29,0.890,NA
2014-09-30,1.364,NA
2014-10-01,6.743,NA
2014-10-02,3.256,NA
2014-10-03,1.890,NA
2014-10-04,1.427,NA
2014-10-05,1.217,NA
2014-10-06,1.077,NA
2014-10-07,0.874,NA
2014-10-08,0.711,NA
2014-10-09,0.651,NA
2014-10-10,0.611,NA
2014-10-11,0.754,NA
2014-10-12,0.744,NA
2014-10-13,1.004,NA
2014-10-14,1.011,NA
2014-10-15,0.981,NA
2014-10-16,0.811,NA
2014-10-17,0.759,NA
2014-10-18,0.849,NA
2014-10-19,0.719,NA
2014-10-20,0.861,NA
2014-10-21,2.523,NA
2014-10-22,3.848,NA
2014-10-23,17.343,NA
2014-10-24,6.041,NA
2014-10-25,3.046,NA
2014-10-26,2.383,NA
2014-10-27,1.793,NA
2014-10-28,1.543,NA
