time,AirTemp,Rain,WindSpeed,RelHum,ShortWave,Cloud,Snow
2014-01-30,-1.8,0.00000,2.4,92.7,37.01,0.7875,0.00003
2014-01-31,-0.2,0.00000,1.5,91.3,73.44,0.6,0.00000
2014-02-01,1.2,0.00000,2.1,92.3,98.86,0.4125,0.00000
2014-02-02,1.5,0.00237,1.5,95.8,22.71,0.9875,0.00000
2014-02-03,0.8,0.00000,2.4,98.7,12.97,0.925,0.00107
2014-02-04,1.6,0.00003,2.1,97.7,69.76,0.7,0.00000
2014-02-05,0.8,0.00000,1.9,95.4,50.76,0.6,0.00010
2014-02-06,5.3,0.00000,2.6,70.4,109.00,0.4125,0.00000
2014-02-07,5.0,0.00010,4.0,77.8,65.67,0.775,0.00000
2014-02-08,4.8,0.00000,2.5,77.3,94.66,0.6875,0.00000
2014-02-09,3.9,0.00040,4.5,77.5,45.68,0.7,0.00000
2014-02-10,2.7,0.00017,1.9,79.4,34.97,0.875,0.00000
2014-02-11,4.3,0.00000,3.6,79.1,91.00,0.5875,0.00000
2014-02-12,1.6,0.00007,3.4,87.8,49.37,0.3625,0.00000
2014-02-13,4.7,0.00320,5.3,71.7,65.14,0.7875,0.00000
2014-02-14,4.2,0.00003,2.8,70.1,109.61,0.675,0.00000
2014-02-15,7.1,0.00160,2.9,75.7,110.65,0.8375,0.00000
2014-02-16,4.6,0.00083,4.4,85.3,22.71,0.9875,0.00000
2014-02-17,3.9,0.00007,2.1,87.0,88.52,0.7875,0.00000
2014-02-18,1.7,0.00023,1.3,94.0,108.28,0.7875,0.00000
2014-02-19,4.0,0.00090,2.9,93.7,32.05,0.975,0.00000
2014-02-20,4.4,0.00077,2.6,88.2,123.56,0.525,0.00000
2014-02-21,3.7,0.00407,5.0,91.8,34.17,0.7875,0.00000
2014-02-22,3.9,0.00000,3.0,79.3,89.73,0.7125,0.00000
2014-02-23,3.7,0.00000,2.2,81.2,107.46,0.375,0.00000
2014-02-24,1.5,0.00007,1.2,86.1,155.03,0.0125,0.00000
