time,flow
2014-01-30,18.3
2014-01-31,17.6
2014-02-01,16.8
2014-02-02,16.2
2014-02-03,15.9
2014-02-04,15.6
2014-02-05,15.3
2014-02-06,15
2014-02-07,14.7
2014-02-08,14.4
2014-02-09,14.3
2014-02-10,13.8
2014-02-11,13.6
2014-02-12,13.2
2014-02-13,13.1
2014-02-14,12.9
2014-02-15,12.6
2014-02-16,12.7
2014-02-17,12.3
2014-02-18,12
2014-02-19,11.9
2014-02-20,11.9
2014-02-21,12.2
2014-02-22,12.3
2014-02-23,12.3
2014-02-24,12.2
2014-02-25,12.1
2014-02-26,11.7
2014-02-27,11.5
2014-02-28,11.6
2014-03-01,11.2
2014-03-02,11
2014-03-03,10.9
2014-03-04,10.7
2014-03-05,10.7
2014-03-06,10.5
2014-03-07,10.4
2014-03-08,10.3
2014-03-09,10.1
2014-03-10,9.97
2014-03-11,9.74
2014-03-12,9.58
2014-03-13,9.5
2014-03-14,9.38
2014-03-15,9.33
2014-03-16,9.44
2014-03-17,9.35
2014-03-18,9.29
2014-03-19,9.13
2014-03-20,8.98
2014-03-21,8.91
2014-03-22,8.85
2014-03-23,10.2
2014-03-24,12.4
2014-03-25,13.8
2014-03-26,14.5
2014-03-27,14.6
2014-03-28,14.6
2014-03-29,14.4
2014-03-30,14.4
2014-03-31,14.3
2014-04-01,14.1
2014-04-02,13.7
2014-04-03,13.2
2014-04-04,12.8
2014-04-05,12.3
2014-04-06,12.1
2014-04-07,12.1
2014-04-08,12
2014-04-09,11.5
2014-04-10,11.1
2014-04-11,10.7
2014-04-12,10.4
2014-04-13,10.6
2014-04-14,10.3
2014-04-15,10
2014-04-16,9.94
2014-04-17,9.79
2014-04-18,9.89
2014-04-19,10.4
2014-04-20,10.4
2014-04-21,10.4
2014-04-22,11.1
2014-04-23,11.4
2014-04-24,11.3
2014-04-25,11.1
2014-04-26,10.9
2014-04-27,11.5
2014-04-28,12.2
2014-04-29,12.3
2014-04-30,12.5
2014-05-01,12.5
2014-05-02,14
2014-05-03,17.2
2014-05-04,20.9
2014-05-05,21.4
2014-05-06,21.4
2014-05-07,21.3
2014-05-08,21.3
2014-05-09,21.3
2014-05-10,20.8
2014-05-11,20.6
2014-05-12,20
2014-05-13,19.3
2014-05-14,18.7
2014-05-15,19.1
2014-05-16,19.7
2014-05-17,20.4
2014-05-18,20.4
2014-05-19,20.2
2014-05-20,19.7
2014-05-21,19
2014-05-22,18.1
2014-05-23,17.2
2014-05-24,16.1
2014-05-25,15
2014-05-26,15.1
2014-05-27,16.6
2014-05-28,17.3
2014-05-29,17.1
2014-05-30,17.8
2014-05-31,18.9
2014-06-01,18.6
2014-06-02,17.8
2014-06-03,17.1
2014-06-04,16.7
2014-06-05,16.1
2014-06-06,15.2
2014-06-07,14.4
2014-06-08,13.7
2014-06-09,12.8
2014-06-10,12.4
2014-06-11,11.7
2014-06-12,10.7
2014-06-13,10.7
2014-06-14,10.5
2014-06-15,9.79
2014-06-16,9.41
2014-06-17,9.12
2014-06-18,8.69
2014-06-19,8.79
2014-06-20,8.32
2014-06-21,8.24
2014-06-22,8.16
2014-06-23,8.01
2014-06-24,8.93
2014-06-25,9.09
2014-06-26,9.62
2014-06-27,9.99
2014-06-28,10.1
2014-06-29,11.2
2014-06-30,13.8
2014-07-01,14.8
2014-07-02,14.8
2014-07-03,15.4
2014-07-04,14.9
2014-07-05,14.5
2014-07-06,13.5
2014-07-07,12.9
2014-07-08,13.2
2014-07-09,15.6
2014-07-10,18.5
2014-07-11,19.8
2014-07-12,23.4
2014-07-13,25.2
2014-07-14,25.1
2014-07-15,25
2014-07-16,24.8
2014-07-17,24.2
2014-07-18,23.4
2014-07-19,22.5
2014-07-20,21.6
2014-07-21,20.8
2014-07-22,21.1
2014-07-23,21.6
2014-07-24,21.4
2014-07-25,20.8
2014-07-26,20.1
2014-07-27,23.2
2014-07-28,24.1
2014-07-29,24.9
2014-07-30,24.9
2014-07-31,28.8
2014-08-01,33
2014-08-02,33.5
2014-08-03,33.6
2014-08-04,34
2014-08-05,34.1
2014-08-06,33.7
2014-08-07,32.9
2014-08-08,32.2
2014-08-09,31.4
2014-08-10,30.2
2014-08-11,29.6
2014-08-12,29.4
2014-08-13,28.9
2014-08-14,29.2
2014-08-15,29
2014-08-16,28.3
2014-08-17,27.7
2014-08-18,26.9
2014-08-19,26.1
2014-08-20,25.3
2014-08-21,24.6
2014-08-22,23.7
2014-08-23,22.8
2014-08-24,22
2014-08-25,21.1
2014-08-26,20.4
2014-08-27,19.9
2014-08-28,20.6
2014-08-29,20.4
2014-08-30,20
2014-08-31,20.2
2014-09-01,22.4
